,strategy,ticker,time window,commission,market,pause window (days),yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
2712,MovingAverageCrossOver,ICE,2000-01-01/2010-01-01,0.3,XLF,0,30.012500000000003,41.9875,-11.974999999999994
2713,MovingAverageCrossOver,IFF,2000-01-01/2010-01-01,0.3,XLB,0,3.501111111111111,3.572222222222222,-0.07111111111111112
2714,MovingAverageCrossOver,IP,2000-01-01/2010-01-01,0.3,XLB,0,-6.29,-7.145555555555556,0.8555555555555561
2715,MovingAverageCrossOver,IPG,2000-01-01/2010-01-01,0.3,XLC,0,-10.142222222222223,-18.40666666666667,8.264444444444447
2716,MovingAverageCrossOver,INTU,2000-01-01/2010-01-01,0.3,XLK,0,-5.763333333333334,2.2622222222222224,-8.025555555555556
2717,MovingAverageCrossOver,ISRG,2000-01-01/2010-01-01,0.3,XLV,0,32.76,38.64000000000001,-5.88000000000001
2718,MovingAverageCrossOver,IVZ,2000-01-01/2010-01-01,0.3,XLF,0,-4.526666666666667,-2.8966666666666665,-1.6300000000000008
2719,MovingAverageCrossOver,IRM,2000-01-01/2010-01-01,0.3,XLRE,0,-1.0188888888888887,11.708888888888888,-12.727777777777776
2720,MovingAverageCrossOver,JBHT,2000-01-01/2010-01-01,0.3,XLI,0,9.72777777777778,28.13777777777777,-18.40999999999999
2721,MovingAverageCrossOver,JKHY,2000-01-01/2010-01-01,0.3,XLF,0,-9.226666666666667,0.8933333333333332,-10.12
2722,MovingAverageCrossOver,J,2000-01-01/2010-01-01,0.3,XLI,0,12.897777777777778,23.533333333333335,-10.635555555555557
2723,MovingAverageCrossOver,JNJ,2000-01-01/2010-01-01,0.3,XLV,0,0.6422222222222219,3.337777777777778,-2.6955555555555564
2724,MovingAverageCrossOver,JCI,2000-01-01/2010-01-01,0.3,XLI,0,-8.796666666666669,-12.645555555555553,3.848888888888885
2725,MovingAverageCrossOver,JPM,2000-01-01/2010-01-01,0.3,XLF,0,-7.202222222222223,-1.9088888888888897,-5.293333333333333
2726,MovingAverageCrossOver,JNPR,2000-01-01/2010-01-01,0.3,XLK,0,1.804444444444445,-1.4966666666666661,3.301111111111111
2727,MovingAverageCrossOver,K,2000-01-01/2010-01-01,0.3,XLP,0,1.0188888888888892,7.014444444444446,-5.995555555555557
2728,MovingAverageCrossOver,KDP,2000-01-01/2010-01-01,0.3,XLP,0,9.26,2.7,6.56
2729,MovingAverageCrossOver,KEY,2000-01-01/2010-01-01,0.3,XLF,0,-9.631111111111112,-6.664444444444444,-2.9666666666666677
2730,MovingAverageCrossOver,KMB,2000-01-01/2010-01-01,0.3,XLP,0,-1.6366666666666665,-0.13333333333333344,-1.503333333333333
2731,MovingAverageCrossOver,KIM,2000-01-01/2010-01-01,0.3,XLRE,0,2.3788888888888895,4.887777777777777,-2.5088888888888876
2732,MovingAverageCrossOver,KLAC,2000-01-01/2010-01-01,0.3,XLK,0,-1.4355555555555557,-6.09,4.654444444444444
2733,MovingAverageCrossOver,KR,2000-01-01/2010-01-01,0.3,XLP,0,-2.493333333333333,2.125555555555556,-4.61888888888889
2734,MovingAverageCrossOver,LHX,2000-01-01/2010-01-01,0.3,XLI,0,3.513333333333333,12.946666666666669,-9.433333333333335
2735,MovingAverageCrossOver,LH,2000-01-01/2010-01-01,0.3,XLV,0,7.854444444444443,15.879999999999999,-8.025555555555556
2736,MovingAverageCrossOver,LRCX,2000-01-01/2010-01-01,0.3,XLK,0,3.2177777777777776,1.9877777777777763,1.2300000000000013
2737,MovingAverageCrossOver,LVS,2000-01-01/2010-01-01,0.3,XLY,0,19.738,-6.054000000000002,25.792
2738,MovingAverageCrossOver,LDOS,2000-01-01/2010-01-01,0.3,XLI,0,-11.753333333333332,-1.0966666666666665,-10.656666666666666
2739,MovingAverageCrossOver,LEN,2000-01-01/2010-01-01,0.3,XLY,0,-11.825555555555555,7.336666666666663,-19.16222222222222
2740,MovingAverageCrossOver,LNC,2000-01-01/2010-01-01,0.3,XLF,0,-4.156666666666666,-3.6411111111111105,-0.5155555555555558
2741,MovingAverageCrossOver,LIN,2000-01-01/2010-01-01,0.3,XLB,0,8.227777777777778,15.998888888888887,-7.771111111111109
2742,MovingAverageCrossOver,LYV,2000-01-01/2010-01-01,0.3,XLC,0,-11.774999999999999,-6.5649999999999995,-5.209999999999999
2743,MovingAverageCrossOver,LKQ,2000-01-01/2010-01-01,0.3,XLY,0,13.791666666666666,27.479999999999993,-13.688333333333327
2744,MovingAverageCrossOver,LMT,2000-01-01/2010-01-01,0.3,XLI,0,5.734444444444443,15.573333333333332,-9.838888888888889
