,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
42,MovingAverageCrossOver,AON,2010-01-01/2023-01-01,0.3,XLF,8.215,18.260833333333334,-10.045833333333334
43,MovingAverageCrossOver,APA,2010-01-01/2023-01-01,0.3,XLE,-9.159166666666668,-2.0741666666666667,-7.085000000000001
44,MovingAverageCrossOver,AAPL,2010-01-01/2023-01-01,0.3,XLK,14.9675,29.56833333333334,-14.60083333333334
45,MovingAverageCrossOver,AMAT,2010-01-01/2023-01-01,0.3,XLK,14.644999999999998,24.622500000000002,-9.977500000000004
46,MovingAverageCrossOver,APTV,2010-01-01/2023-01-01,0.3,XLY,20.594545454545457,22.01272727272727,-1.4181818181818109
47,MovingAverageCrossOver,ACGL,2010-01-01/2023-01-01,0.3,XLF,7.432500000000001,16.198333333333334,-8.765833333333333
48,MovingAverageCrossOver,ANET,2010-01-01/2023-01-01,0.3,XLK,11.700000000000001,32.14875,-20.448749999999997
49,MovingAverageCrossOver,AJG,2010-01-01/2023-01-01,0.3,XLF,6.993333333333333,17.721666666666668,-10.728333333333335
50,MovingAverageCrossOver,AIZ,2010-01-01/2023-01-01,0.3,XLF,6.358333333333333,13.908333333333333,-7.55
51,MovingAverageCrossOver,T,2010-01-01/2023-01-01,0.3,XLC,-1.99,-0.18166666666666664,-1.8083333333333333
52,MovingAverageCrossOver,ATO,2010-01-01/2023-01-01,0.3,XLU,3.2283333333333335,12.428333333333333,-9.2
53,MovingAverageCrossOver,ADSK,2010-01-01/2023-01-01,0.3,XLK,8.367499999999998,19.746666666666666,-11.379166666666668
54,MovingAverageCrossOver,AZO,2010-01-01/2023-01-01,0.3,XLY,13.9375,23.179999999999996,-9.242499999999996
55,MovingAverageCrossOver,AVB,2010-01-01/2023-01-01,0.3,XLRE,-2.1158333333333332,7.293333333333332,-9.409166666666666
56,MovingAverageCrossOver,AVY,2010-01-01/2023-01-01,0.3,XLB,-0.4941666666666665,16.05333333333333,-16.547499999999996
57,MovingAverageCrossOver,AXON,2010-01-01/2023-01-01,0.3,XLI,24.70583333333333,37.93,-13.224166666666669
58,MovingAverageCrossOver,BKR,2010-01-01/2023-01-01,0.3,XLE,-4.64,-0.2233333333333336,-4.416666666666666
59,MovingAverageCrossOver,BALL,2010-01-01/2023-01-01,0.3,XLB,9.225,15.545833333333336,-6.320833333333336
60,MovingAverageCrossOver,BAC,2010-01-01/2023-01-01,0.3,XLF,4.833333333333334,11.860833333333332,-7.027499999999998
61,MovingAverageCrossOver,BBWI,2010-01-01/2023-01-01,0.3,XLY,7.1833333333333345,17.355,-10.171666666666667
62,MovingAverageCrossOver,BAX,2010-01-01/2023-01-01,0.3,XLV,-0.8500000000000002,8.6525,-9.5025
63,MovingAverageCrossOver,BDX,2010-01-01/2023-01-01,0.3,XLV,0.8358333333333325,11.208333333333334,-10.372500000000002
64,MovingAverageCrossOver,WRB,2010-01-01/2023-01-01,0.3,XLF,4.326666666666667,15.824166666666665,-11.497499999999999
65,MovingAverageCrossOver,BBY,2010-01-01/2023-01-01,0.3,XLY,9.641666666666666,10.255833333333332,-0.6141666666666659
66,MovingAverageCrossOver,BIO,2010-01-01/2023-01-01,0.3,XLV,10.213333333333331,17.008333333333336,-6.795000000000005
67,MovingAverageCrossOver,TECH,2010-01-01/2023-01-01,0.3,XLV,11.228333333333332,17.895,-6.666666666666668
68,MovingAverageCrossOver,BIIB,2010-01-01/2023-01-01,0.3,XLV,9.195000000000002,15.991666666666665,-6.796666666666663
69,MovingAverageCrossOver,BLK,2010-01-01/2023-01-01,0.3,XLF,5.529166666666668,13.464166666666666,-7.934999999999998
70,MovingAverageCrossOver,BK,2010-01-01/2023-01-01,0.3,XLF,0.8099999999999999,5.879166666666667,-5.069166666666668
71,MovingAverageCrossOver,BA,2010-01-01/2023-01-01,0.3,XLI,6.639166666666665,12.500833333333333,-5.861666666666667
72,MovingAverageCrossOver,BKNG,2010-01-01/2023-01-01,0.3,XLY,1.0650000000000006,20.4725,-19.4075
73,MovingAverageCrossOver,BWA,2010-01-01/2023-01-01,0.3,XLY,7.217500000000001,7.6674999999999995,-0.4499999999999984
74,MovingAverageCrossOver,BXP,2010-01-01/2023-01-01,0.3,XLRE,-1.4241666666666666,2.5175,-3.9416666666666664
75,MovingAverageCrossOver,BSX,2010-01-01/2023-01-01,0.3,XLV,9.459166666666668,18.316666666666666,-8.857499999999998
76,MovingAverageCrossOver,BMY,2010-01-01/2023-01-01,0.3,XLV,1.5233333333333332,9.905833333333334,-8.3825
77,MovingAverageCrossOver,AVGO,2010-01-01/2023-01-01,0.3,XLK,11.390833333333333,33.526666666666664,-22.13583333333333
78,MovingAverageCrossOver,BR,2010-01-01/2023-01-01,0.3,XLI,13.4,18.75,-5.35
79,MovingAverageCrossOver,BRO,2010-01-01/2023-01-01,0.3,XLF,10.933333333333335,16.909166666666668,-5.975833333333332
80,MovingAverageCrossOver,BG,2010-01-01/2023-01-01,0.3,XLP,8.796666666666667,7.110833333333335,1.6858333333333322
81,MovingAverageCrossOver,CHRW,2010-01-01/2023-01-01,0.3,XLI,-0.5308333333333329,4.609166666666668,-5.140000000000001
82,MovingAverageCrossOver,CDNS,2010-01-01/2023-01-01,0.3,XLK,11.936666666666667,30.767500000000002,-18.830833333333334
83,MovingAverageCrossOver,CZR,2010-01-01/2023-01-01,0.3,XLY,18.998749999999998,48.51625,-29.517500000000002
84,MovingAverageCrossOver,CPT,2010-01-01/2023-01-01,0.3,XLRE,6.149166666666666,10.53,-4.380833333333333
85,MovingAverageCrossOver,CPB,2010-01-01/2023-01-01,0.3,XLP,-0.9958333333333331,3.6024999999999996,-4.598333333333333
86,MovingAverageCrossOver,COF,2010-01-01/2023-01-01,0.3,XLF,11.688333333333333,12.357500000000002,-0.6691666666666691
87,MovingAverageCrossOver,CAH,2010-01-01/2023-01-01,0.3,XLV,-4.340833333333333,6.630833333333334,-10.971666666666668
88,MovingAverageCrossOver,KMX,2010-01-01/2023-01-01,0.3,XLY,4.7491666666666665,13.613333333333332,-8.864166666666666
89,MovingAverageCrossOver,CCL,2010-01-01/2023-01-01,0.3,XLY,-4.0808333333333335,-4.105,0.02416666666666689
90,MovingAverageCrossOver,CARR,2010-01-01/2023-01-01,0.3,XLI,28.585,31.904999999999998,-3.3199999999999967
91,MovingAverageCrossOver,CTLT,2010-01-01/2023-01-01,0.3,XLV,4.6025,21.033749999999998,-16.43125
92,MovingAverageCrossOver,CAT,2010-01-01/2023-01-01,0.3,XLI,10.295,11.714999999999998,-1.4199999999999982
93,MovingAverageCrossOver,CBOE,2010-01-01/2023-01-01,0.3,XLF,8.6,15.296666666666667,-6.696666666666667
94,MovingAverageCrossOver,CBRE,2010-01-01/2023-01-01,0.3,XLRE,12.104166666666664,16.976666666666667,-4.872500000000002
95,MovingAverageCrossOver,CDW,2010-01-01/2023-01-01,0.3,XLK,11.235555555555557,26.76111111111111,-15.525555555555552
96,MovingAverageCrossOver,CE,2010-01-01/2023-01-01,0.3,XLB,7.265,13.925833333333332,-6.660833333333332
97,MovingAverageCrossOver,CNC,2010-01-01/2023-01-01,0.3,XLV,17.367500000000003,27.50583333333333,-10.138333333333328
98,MovingAverageCrossOver,CNP,2010-01-01/2023-01-01,0.3,XLU,2.6166666666666667,7.5125,-4.895833333333334
99,MovingAverageCrossOver,CDAY,2010-01-01/2023-01-01,0.3,XLI,-0.4275000000000002,20.935,-21.362499999999997
100,MovingAverageCrossOver,CF,2010-01-01/2023-01-01,0.3,XLB,18.395000000000003,20.348333333333333,-1.9533333333333296
101,MovingAverageCrossOver,CRL,2010-01-01/2023-01-01,0.3,XLV,9.615,20.726666666666663,-11.111666666666663
102,MovingAverageCrossOver,SCHW,2010-01-01/2023-01-01,0.3,XLF,8.069166666666666,16.904166666666665,-8.834999999999999
103,MovingAverageCrossOver,CHTR,2010-01-01/2023-01-01,0.3,XLC,20.1475,27.123333333333335,-6.975833333333334
104,MovingAverageCrossOver,CVX,2010-01-01/2023-01-01,0.3,XLE,3.6299999999999994,7.8825,-4.252500000000001
105,MovingAverageCrossOver,CMG,2010-01-01/2023-01-01,0.3,XLY,11.829999999999998,26.033333333333335,-14.203333333333337
106,MovingAverageCrossOver,CB,2010-01-01/2023-01-01,0.3,XLF,1.7858333333333334,12.129166666666668,-10.343333333333335
107,MovingAverageCrossOver,CHD,2010-01-01/2023-01-01,0.3,XLP,8.1275,15.483333333333333,-7.355833333333333
108,MovingAverageCrossOver,CI,2010-01-01/2023-01-01,0.3,XLV,14.103333333333332,20.128333333333334,-6.025000000000002
109,MovingAverageCrossOver,CINF,2010-01-01/2023-01-01,0.3,XLF,3.8174999999999994,13.524166666666666,-9.706666666666667
110,MovingAverageCrossOver,CTAS,2010-01-01/2023-01-01,0.3,XLI,11.940833333333332,25.7925,-13.851666666666668
